host_listings_count,review_scores_rating,neighbourhood_cleansed,property_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,bathrooms_text,maximum_nights,number_of_reviews,latitude,longitude
2.0,4.78,Botafogo,Private room in rental unit,2,Private room,1.0,1.0,232.0,2,1.0,1125,50,-22.950466,-43.192856
0.0,5.0,Glória,Entire residential home,6,Entire home/apt,3.0,4.0,700.0,2,2.0,1125,1,-22.9224,-43.17438
1.0,4.4,Leblon,Entire rental unit,2,Entire home/apt,1.0,2.0,120.0,1,1.0,1125,5,-22.98124,-43.21629
11.0,3.0,Leblon,Entire rental unit,6,Entire home/apt,3.0,6.0,1657.0,2,2.0,1125,1,-22.98095,-43.22063
2.0,5.0,Ipanema,Private room in rental unit,2,Private room,1.0,1.0,113.0,1,1.0,30,6,-22.98192,-43.19839
2.0,4.93,Barra da Tijuca,Entire rental unit,4,Entire home/apt,2.0,3.0,450.0,2,2.0,1125,15,-23.00432,-43.32835
1.0,5.0,Barra da Tijuca,Entire rental unit,2,Entire home/apt,1.0,1.0,647.0,3,1.0,15,17,-23.00972,-43.34433
0.0,4.620987361262592,Leblon,Entire rental unit,6,Entire home/apt,3.0,1.0,10000.0,4,2.0,1125,0,-22.98473,-43.22067
6.0,4.620987361262592,Jacarepaguá,Entire condominium (condo),2,Entire home/apt,1.0,2.0,400.0,2,1.0,90,0,-22.96721,-43.33633
20.0,4.5,Camorim,Entire serviced apartment,2,Entire home/apt,0.0,1.0,100.0,10,1.0,390,2,-22.97503,-43.41555
20.0,4.0,Camorim,Entire serviced apartment,2,Entire home/apt,1.0,1.0,115.0,15,1.0,1000,2,-22.9764,-43.41573
0.0,4.620987361262592,Ipanema,Entire rental unit,6,Entire home/apt,3.0,6.0,3405.0,1,2.0,365,0,-22.98293,-43.20595
0.0,4.620987361262592,Leblon,Entire condominium (condo),4,Entire home/apt,2.0,3.0,220.0,2,2.0,1125,0,-22.98185,-43.22184
0.0,4.620987361262592,Barra da Tijuca,Private room in residential home,2,Private room,1.0,0.0,130.0,1,1.0,4,0,-23.00821,-43.30002
1.0,4.87,Barra da Tijuca,Entire rental unit,8,Entire home/apt,4.0,4.0,1270.0,4,5.0,1125,30,-23.00859,-43.31683
1.0,4.620987361262592,Vargem Pequena,Private room in residential home,1,Private room,1.0,2.0,1000.0,1,1.0,1125,0,-22.98488,-43.46184
20.0,4.7,Camorim,Entire serviced apartment,2,Entire home/apt,1.0,1.0,480.0,1,1.0,1000,10,-22.97636,-43.41391
0.0,4.620987361262592,Copacabana,Private room in serviced apartment,4,Private room,1.0,2.0,250.0,5,1.0,30,0,-22.97189,-43.18417
2.0,5.0,Copacabana,Private room in rental unit,2,Private room,1.0,3.0,75.0,14,1.0,60,1,-22.97226,-43.19081
0.0,0.0,Copacabana,Private room in rental unit,2,Private room,1.0,0.0,147.0,1,1.0,1,1,-22.96537,-43.17664
2.0,4.91,Gamboa,Entire rental unit,4,Entire home/apt,1.0,2.0,153.0,1,1.0,1,34,-22.89545,-43.19322
0.0,4.620987361262592,Copacabana,Entire condominium (condo),5,Entire home/apt,2.0,3.0,170.0,6,2.0,6,0,-22.96757,-43.1847
239.0,4.5,Copacabana,Entire rental unit,4,Entire home/apt,0.0,2.0,615.0,3,1.0,1125,2,-22.96355,-43.17543
0.0,4.620987361262592,Copacabana,Entire rental unit,4,Entire home/apt,1.0,2.0,200.0,3,1.0,1125,0,-22.96251,-43.17746
0.0,4.79,Copacabana,Entire rental unit,5,Entire home/apt,1.0,4.0,509.0,2,1.0,1125,14,-22.96455,-43.18091
12.0,4.620987361262592,Santa Teresa,Entire condominium (condo),7,Entire home/apt,3.0,5.0,650.0,6,2.0,1125,0,-22.92083,-43.19055
1.0,4.620987361262592,Flamengo,Private room in rental unit,3,Private room,1.0,2.0,150.0,2,2.0,5,0,-22.93795,-43.17861
32.0,4.620987361262592,Joá,Entire residential home,8,Entire home/apt,4.0,5.0,8500.0,1,3.0,1125,0,-23.01578,-43.29477
22.0,4.33,Barra da Tijuca,Entire rental unit,10,Entire home/apt,4.0,7.0,2419.0,1,3.0,1125,9,-23.01374,-43.30345
22.0,5.0,Barra da Tijuca,Entire rental unit,7,Entire home/apt,4.0,4.0,3071.0,1,2.0,1125,3,-23.01441,-43.30355
22.0,5.0,Leblon,Room in aparthotel,4,Entire home/apt,1.0,2.0,1126.0,1,1.0,1125,3,-22.98441,-43.21962
22.0,5.0,Leblon,Room in aparthotel,4,Entire home/apt,1.0,2.0,912.0,1,1.0,1125,4,-22.98315,-43.21814
1.0,4.620987361262592,Barra da Tijuca,Entire rental unit,5,Entire home/apt,1.0,3.0,800.0,1,1.0,1125,0,-23.01058,-43.35395
0.0,4.620987361262592,Olaria,Entire rental unit,8,Entire home/apt,1.0,0.0,290.0,2,1.0,1125,0,-22.84915,-43.26282
1.0,4.94,Laranjeiras,Entire condominium (condo),4,Entire home/apt,2.0,3.0,507.0,2,2.0,1125,72,-22.94305,-43.19349
9.0,4.57,Ipanema,Entire residential home,4,Entire home/apt,2.0,2.0,420.0,2,1.0,1125,67,-22.98408,-43.20336
0.0,4.89,Camorim,Entire serviced apartment,2,Entire home/apt,1.0,1.0,296.0,2,1.0,90,18,-22.97606,-43.41576
0.0,5.0,Copacabana,Entire rental unit,4,Entire home/apt,1.0,2.0,259.0,1,1.0,365,5,-22.9665,-43.18101
3.0,4.620987361262592,Recreio dos Bandeirantes,Private room in residential home,2,Private room,1.0,1.0,150.0,1,3.0,1125,0,-23.03025,-43.48121
3.0,4.620987361262592,Recreio dos Bandeirantes,Entire rental unit,4,Entire home/apt,0.0,3.0,120.0,1,1.0,1125,0,-23.02949,-43.48472
2.0,4.620987361262592,Camorim,Private room in condominium (condo),2,Private room,1.0,1.0,300.0,2,1.0,1125,0,-22.97654,-43.4137
1.0,5.0,Copacabana,Entire rental unit,4,Entire home/apt,2.0,3.0,586.0,5,1.0,89,7,-22.98409,-43.19255
1.0,4.620987361262592,Recreio dos Bandeirantes,Private room in rental unit,1,Private room,1.0,1.0,1500.0,30,1.0,1125,0,-23.02355,-43.49304
37.0,4.620987361262592,Copacabana,Entire residential home,12,Entire home/apt,6.0,6.0,59024.0,3,50.0,182,0,-22.974,-43.18841
0.0,0.0,Recreio dos Bandeirantes,Private room in rental unit,2,Private room,1.0,1.0,280.0,1,1.0,1125,1,-23.02456,-43.49077
1.0,5.0,Paquetá,Private room in residential home,3,Private room,1.0,2.0,330.0,1,1.0,1125,1,-22.75441,-43.11095
2.0,4.620987361262592,Ipanema,Private room in rental unit,2,Private room,1.0,0.0,200.0,1,1.0,15,0,-22.98018,-43.20113
53.0,4.620987361262592,Leblon,Entire rental unit,5,Entire home/apt,2.0,4.0,1700.0,90,2.0,90,0,-22.98392,-43.2219
1.0,5.0,Paquetá,Private room in residential home,2,Private room,1.0,1.0,270.0,1,1.0,1125,3,-22.75658,-43.11047
0.0,4.79,Recreio dos Bandeirantes,Entire condominium (condo),9,Entire home/apt,3.0,5.0,2043.0,3,3.0,30,14,-23.02944,-43.48058
2.0,4.43,Barra da Tijuca,Entire rental unit,6,Entire home/apt,2.0,3.0,743.0,5,2.0,15,7,-23.00914,-43.35863
0.0,4.620987361262592,Ipanema,Entire rental unit,4,Entire home/apt,2.0,2.0,400.0,7,2.0,1125,0,-22.98347,-43.19772
3.0,5.0,Ipanema,Entire rental unit,4,Entire home/apt,2.0,2.0,724.0,6,1.0,1125,2,-22.98427,-43.20184
0.0,5.0,Jacarepaguá,Private room in residential home,2,Private room,1.0,0.0,130.0,2,1.0,5,1,-22.95235,-43.37876
0.0,4.94,Jacarepaguá,Private room in rental unit,1,Private room,1.0,1.0,79.0,2,1.0,1125,32,-22.97179,-43.38092
0.0,5.0,Leme,Entire condominium (condo),4,Entire home/apt,2.0,2.0,319.0,5,2.0,1125,1,-22.96252,-43.17024
3.0,4.71,Copacabana,Entire rental unit,6,Entire home/apt,3.0,3.0,1029.0,5,2.0,90,7,-22.96467,-43.18369
0.0,4.71,Recreio dos Bandeirantes,Entire rental unit,5,Entire home/apt,2.0,2.0,1371.0,4,2.0,1125,14,-23.0224,-43.44907
0.0,4.620987361262592,Vista Alegre,Shared room in rental unit,4,Shared room,1.0,4.0,60.0,7,1.0,1125,0,-22.82824,-43.31919
0.0,4.620987361262592,Barra da Tijuca,Entire rental unit,5,Entire home/apt,4.0,4.0,440.0,2,3.0,15,0,-23.00305,-43.37869
5.0,5.0,Gamboa,Entire condominium (condo),3,Entire home/apt,2.0,2.0,376.0,2,1.0,1125,11,-22.89418,-43.19536
0.0,4.84,Barra da Tijuca,Entire serviced apartment,3,Entire home/apt,1.0,1.0,363.0,2,1.0,1125,19,-23.00432,-43.34213
0.0,4.54,Barra da Tijuca,Entire serviced apartment,2,Entire home/apt,1.0,2.0,352.0,2,1.0,1125,13,-23.00528,-43.34222
2.0,5.0,Ipanema,Entire rental unit,4,Entire home/apt,2.0,2.0,572.0,1,2.0,1125,1,-22.98114,-43.2058
8.0,4.620987361262592,Lagoa,Entire residential home,12,Entire home/apt,6.0,12.0,4729.0,1,4.0,1,0,-22.96578,-43.19833
1.0,5.0,Recreio dos Bandeirantes,Entire condominium (condo),6,Entire home/apt,2.0,3.0,850.0,4,2.0,1125,1,-23.03135,-43.47726
1.0,5.0,Copacabana,Entire rental unit,4,Entire home/apt,1.0,2.0,413.0,3,1.0,1125,27,-22.96508,-43.19154
8.0,5.0,Copacabana,Private room in bed and breakfast,2,Private room,1.0,1.0,1669.0,1,1.0,29,7,-22.98255,-43.19449
8.0,4.75,Copacabana,Private room in bed and breakfast,3,Private room,1.0,2.0,1253.0,1,1.0,365,12,-22.9835,-43.19347
0.0,5.0,Camorim,Entire serviced apartment,2,Entire home/apt,1.0,1.0,415.0,2,1.0,90,1,-22.975454,-43.414715
2.0,4.58,Camorim,Entire serviced apartment,2,Entire home/apt,1.0,2.0,275.0,2,1.0,1125,19,-22.97545,-43.41472
20.0,5.0,Jacarepaguá,Private room in serviced apartment,2,Private room,1.0,1.0,121.0,2,1.0,1000,1,-22.9745,-43.41415
3.0,4.620987361262592,Recreio dos Bandeirantes,Private room in rental unit,2,Private room,1.0,1.0,300.0,1,1.0,1125,0,-23.02356,-43.48375
3.0,4.620987361262592,Jardim Guanabara,Private room in residential home,1,Private room,1.0,0.0,60.0,1,1.0,1,0,-22.81689,-43.19341
0.0,5.0,Barra da Tijuca,Entire serviced apartment,4,Entire home/apt,2.0,3.0,993.0,5,1.0,1125,4,-23.0106,-43.34613
57.0,4.620987361262592,Joá,Entire villa,15,Entire home/apt,0.0,0.0,2000.0,29,7.0,180,0,-23.01146,-43.28933
8.0,4.0,Leblon,Entire rental unit,6,Entire home/apt,2.0,4.0,859.0,2,1.0,89,8,-22.98464,-43.21659
11.0,4.16,Copacabana,Entire condominium (condo),3,Entire home/apt,1.0,2.0,279.0,1,1.0,5,45,-22.97498,-43.18999
11.0,4.32,Copacabana,Entire rental unit,4,Entire home/apt,1.0,3.0,118.0,1,1.0,5,19,-22.96655,-43.18285
11.0,4.68,Leblon,Entire rental unit,4,Entire home/apt,2.0,3.0,422.0,1,1.0,5,25,-22.98473,-43.22205
1.0,4.97,Ipanema,Entire rental unit,4,Entire home/apt,2.0,4.0,851.0,3,2.0,1125,36,-22.98554,-43.1979
0.0,4.620987361262592,Santa Teresa,Entire rental unit,4,Entire home/apt,2.0,1.0,120.0,3,1.0,120,0,-22.91558,-43.18174
1.0,4.7,Leblon,Entire rental unit,2,Entire home/apt,1.0,1.0,429.0,3,1.0,90,10,-22.98276,-43.22348
3.0,4.620987361262592,Copacabana,Entire rental unit,3,Entire home/apt,0.0,1.0,289.0,2,0.0,30,0,-22.9652,-43.17574
1.0,4.88,Copacabana,Entire rental unit,6,Entire home/apt,2.0,2.0,900.0,4,1.0,1125,24,-22.96475,-43.17719
